Бренд,Category,Detailed image,Product code,Название,Артикул,Описание,Тип наушников,Режим работы,Тип звучания,Шумоизоляция,Кол-во динамиков в чашке,Размер динамиков (мм),Частотный диапазон наушников (Гц),Сопротивление (Ом),Чувствительность наушников (Дб),Микрофон,Частотный диапазон микрофона (Гц),Чувствительность микрофона (Дб),Звуковая карта,"Подключение, разъемы",Длина провода,Подсветка,Гарантия,Страна производитель
Razer,Наушники,RZ04-02050600-R3M1/1.png///RZ04-02050600-R3M1/2.png///RZ04-02050600-R3M1/3.png///RZ04-02050600-R3M1/4.png///RZ04-02050600-R3M1/5.png///RZ04-02050600-R3M1/6.png,RZ04-02050600-R3M1,"Razer Kraken Pro V2 Oval, Green",RZ04-02050600-R3M1,"Благодаря многолетним испытаниям и обратной связи от геймеров и наших профессиональных киберспортсменов, Razer Kraken Pro эволюционировала. Обновленная гарнитура Razer Kraken V2 оснащена двумя 50-миллиметровыми модифицированными динамиками, они большего размера, чем динамики в гарнитурах Kraken предыдущего поколения, и обладают более широким диапазоном частот. Гарнитура Razer Kraken V2 имеет новый цельный алюминиевый каркас, он прочнее и гибче, чем другие обычно используемые при создании гарнитур материалы. Амбушюры наушников из высококачественной искусственной кожи стали еще больше и мягче. Razer Kraken Pro V2 обладает полностью выдвижным микрофоном, пультом управления громкостью на проводе и кнопкой отключения микрофона, что максимально облегчает ее использование. 

Новая гарнитура Razer Kraken Pro V2 готова к самым жестким сражениям.

50-миллиметровые динамики для баланса внутриигрового звука и общения
Улучшенное воспроизведение звука в гарнитуре Razer Kraken V2 обеспечивается двумя 50-миллиметровыми модифицированными динамиками. Они большего размера, чем динамики в гарнитурах Kraken предыдущего поколения, и обладают более широким диапазоном частот, что поддерживает идеальный баланс между прослушиванием внутриигрового аудио и групповым общением.

Цельная алюминиевая рамка для увеличения срока службы
Гарнитуры Razer Kraken V2 имеют новейшую цельную алюминиевую рамку, которая является более прочной и гибкой, чем другие обычно используемые при создании гарнитур материалы. Было проведено тщательное тестирование на удароустойчивость, изменение формы, добавочный вес, небрежное обращение и многое другое. Результат показал, что гарнитура действительно готова ко всем суровым реалиям профессионального гейминга.

Разработана для обеспечения максимального комфорта и нулевого давления
Дужка была спроектирована таким образом, чтобы сбалансировать распределение веса и уменьшить давление для максимального комфорта во время продолжительной игры. Чаши стали ещё больше, мягче и обеспечивают ещё лучшую изоляцию звука, чем раньше. Если у вас более крупная голова и уши, то обратите вниманеи на модель с овальными амбушюрами Razer Kraken Pro V2 Oval. Также обновленные чаши наушников оснащены особыми встроенными желобами, позволяющими геймерам, которые носят очки, пользоваться гарнитурой, не испытывая дискомфорта после долгой игры.

Пульт управления и полностью выдвижной микрофон
Настраивайте звук в пылу сражений, используя гибкий однонаправленный электретный конденсаторный ECM микрофон, и пульт управления громкостью и микрофоном на проводе. Гибкий телескопический микрофон выдвигается из левой чашки наушников тогда, когда вам он нужен. Вы можете его точно отрегулировать, чтобы добиться кристально четкого звучания.",Полноразмерные,Проводной,Стерео,Закрытые,1,50,12 - 28 000,32,118,Однонаправленный,100-10000,-38 ± 3,Нет,3.5 мм,"1,3 м + 2 м",Нет,2 года,Китай
Razer,Наушники,RZ04-02050500-R3M1/1.png///RZ04-02050500-R3M1/2.png///RZ04-02050500-R3M1/3.png///RZ04-02050500-R3M1/4.png///RZ04-02050500-R3M1/5.png///RZ04-02050500-R3M1/6.png///RZ04-02050500-R3M1/7.png,RZ04-02050500-R3M1,"Razer Kraken Pro V2 Oval, White",RZ04-02050500-R3M1,"Благодаря многолетним испытаниям и обратной связи от геймеров и наших профессиональных киберспортсменов, Razer Kraken Pro эволюционировала. Обновленная гарнитура Razer Kraken V2 оснащена двумя 50-миллиметровыми модифицированными динамиками, они большего размера, чем динамики в гарнитурах Kraken предыдущего поколения, и обладают более широким диапазоном частот. Гарнитура Razer Kraken V2 имеет новый цельный алюминиевый каркас, он прочнее и гибче, чем другие обычно используемые при создании гарнитур материалы. Амбушюры наушников из высококачественной искусственной кожи стали еще больше и мягче. Razer Kraken Pro V2 обладает полностью выдвижным микрофоном, пультом управления громкостью на проводе и кнопкой отключения микрофона, что максимально облегчает ее использование. 

Новая гарнитура Razer Kraken Pro V2 готова к самым жестким сражениям.

50-миллиметровые динамики для баланса внутриигрового звука и общения
Улучшенное воспроизведение звука в гарнитуре Razer Kraken V2 обеспечивается двумя 50-миллиметровыми модифицированными динамиками. Они большего размера, чем динамики в гарнитурах Kraken предыдущего поколения, и обладают более широким диапазоном частот, что поддерживает идеальный баланс между прослушиванием внутриигрового аудио и групповым общением.

Цельная алюминиевая рамка для увеличения срока службы
Гарнитуры Razer Kraken V2 имеют новейшую цельную алюминиевую рамку, которая является более прочной и гибкой, чем другие обычно используемые при создании гарнитур материалы. Было проведено тщательное тестирование на удароустойчивость, изменение формы, добавочный вес, небрежное обращение и многое другое. Результат показал, что гарнитура действительно готова ко всем суровым реалиям профессионального гейминга.

Разработана для обеспечения максимального комфорта и нулевого давления
Дужка была спроектирована таким образом, чтобы сбалансировать распределение веса и уменьшить давление для максимального комфорта во время продолжительной игры. Чаши стали ещё больше, мягче и обеспечивают ещё лучшую изоляцию звука, чем раньше. Если у вас более крупная голова и уши, то обратите вниманеи на модель с овальными амбушюрами Razer Kraken Pro V2 Oval. Также обновленные чаши наушников оснащены особыми встроенными желобами, позволяющими геймерам, которые носят очки, пользоваться гарнитурой, не испытывая дискомфорта после долгой игры.

Пульт управления и полностью выдвижной микрофон
Настраивайте звук в пылу сражений, используя гибкий однонаправленный электретный конденсаторный ECM микрофон, и пульт управления громкостью и микрофоном на проводе. Гибкий телескопический микрофон выдвигается из левой чашки наушников тогда, когда вам он нужен. Вы можете его точно отрегулировать, чтобы добиться кристально четкого звучания.",Полноразмерные,Проводной,Стерео,Закрытые,1,50,12 - 28 000,32,118,Однонаправленный,100-10000,-38 ± 3,Нет,3.5 мм,"1,3 м + 2 м",Нет,2 года,Китай
Razer,Наушники,RZ04-02350100-R3M1/1.png///RZ04-02350100-R3M1/2.png///RZ04-02350100-R3M1/3.png///RZ04-02350100-R3M1/4.png///RZ04-02350100-R3M1/5.png///RZ04-02350100-R3M1/6.png///RZ04-02350100-R3M1/7.png///RZ04-02350100-R3M1/8.png///RZ04-02350100-R3M1/9.png///RZ04-02350100-R3M1/10.png///RZ04-02350100-R3M1/11.png///RZ04-02350100-R3M1/12.png///RZ04-02350100-R3M1/13.png,RZ04-02350100-R3M1,Razer Thresher Tournament,RZ04-02350100-R3M1,"Гарнитура Razer Thresher Tournament Edition обеспечивает абсолютный комфорт во время многочасовых игр на консоли и ПК. Обшитые искусственной кожей легкие амбушюры из пеноматериала с эффектом памяти принимают уникальную форму головы игрока и формируют естественное уплотнение, которое отсекает отвлекающие факторы. Разработанный специально для применения на соревнованиях выдвижной однонаправленный микрофон принимает только ваш голос и отфильтровывает все нежелательные шумы.

Комфортная игра в течение многих часов
Легкие и мягкие амбушюры из искусственной кожи обеспечивают полный комфорт во время интенсивных игровых марафонов. Они изготовлены из пеноматериала с эффектом памяти, благодаря чему они удобно облегают голову игрока. Это естественное уплотнение обеспечивает оптимальную шумоизоляцию, улучшенное качество звука, а также непревзойденный комфорт.

Всегда идеальное качество звука при голосовой связи
Однонаправленный микрофон ближнего поля был протестирован профессиональными игроками в соревновательной видеоигре, которые подтвердили удивительную четкость звука при голосовой связи. Диаграмма направленности выдвижного микрофона точно настроена на то, чтобы захватывать только ваш голос, поэтому ваши товарищи по команде смогут понимать вас даже в шумных условиях.

Совместимость с Xbox, PlayStation и ПК благодаря 3,5 мм аудиоразъему
Сделайте ее своей рабочей гарнитурой, и вы сможете принимать участие в соревнованиях на любых платформах. Благодаря 3,5 мм аудиоразъему проводная гарнитура Razer Thresher Tournament Edition обеспечивает передачу звука без задержек и совместимость с PlayStation, Xbox, ПК и др.

Кнопки управления микрофоном и регулятор громкости на проводе
Гарнитура Razer Thresher Tournament Edition оснащена пультом управления на проводе, с которым вы сможете регулировать уровень громкости и отключать микрофон без необходимости использования внешних приложений.",Полноразмерные,Проводной,Стерео,Закрытые,1,50,12 - 28 000,32,,Однонаправленный,100-10000,-38 ± 3,Нет,3.5 мм,1.3 м,Нет,2 года,Китай
Razer,Наушники,RZ04-02070100-R3M1/1.jpg///RZ04-02070100-R3M1/2.jpg///RZ04-02070100-R3M1/3.jpg///RZ04-02070100-R3M1/4.jpg///RZ04-02070100-R3M1/5.jpg///RZ04-02070100-R3M1/6.jpg///RZ04-02070100-R3M1/7.jpg///RZ04-02070100-R3M1/8.jpg///RZ04-02070100-R3M1/9.jpg///RZ04-02070100-R3M1/10.jpg///RZ04-02070100-R3M1/11.jpg///RZ04-02070100-R3M1/12.jpg,RZ04-02070100-R3M1,Razer Tiamat 7.1 V2,RZ04-02070100-R3M1,"Хотите услышать грохот в джунглях и воспроизводить самые глубокие басы? Выбирайте Razer Tiamat 2.2 V2!

Эта мощнейшая игровая гарнитура оснащена дополнительными басовыми динамиками в каждой чашке наушников, чтобы максимально прокачать звук в ваших любимых играх.

Кроме того, благодаря программе Razer Surround для создания виртуального объемного звука 7.1, вы услышите каждый шорох вокруг вас с абсолютной четкостью и сможете использовать это для получения тактического преимущества в игре.

Два отдельных сабвуфера для получения глубочайших басов
Уникальная особенность Razer Tiamat 2.2 V2 — не один, а два басовых динамика в каждой чашке наушников, чтобы каждый взрыв или автоматная очередь во время игры чувствовались как удар под дых.
Вы станете ближе к схватке и полностью погрузитесь в игру.

Идеальный комфорт и длительный срок службы для тех, кто проводит за играми много времени
Результатом многих лет эргономических разработок и проверок профессиональными геймерами стала уникальная конструкция оголовья Razer Tiamat 2.2 V2 с оптимальным распределением веса и уменьшенной силой сжатия оголовья. Благодаря амбушюрам из превосходной искусственной кожи вы ощутите настоящий комфорт и отсечете все ненужные звуки.

Система виртуального объемного звука 7.1 для точного позиционирования источников звука
Гарнитура Razer Tiamat 2.2 V2 позволяет погрузиться в виртуальный объемный звук игры и улучшает восприятие ситуации на слух. Вы всегда услышите, где находится враг или друг, чтобы нанести точный удар. Кроме того, объемный звук можно настроить под себя с помощью Razer Synapse, например, отрегулировать оптимальное размещение аудиоканалов под собственные предпочтения.

Поворотный микрофон для кристально чистого звука
Цифровой микрофон Razer Tiamat 2.2 V2 можно опустить вниз или поднять вверх — когда это вам нужно. Этот однонаправленный микрофон точно воспроизводит естественный звук, и ваши друзья услышат ваш голос таким, каким он и должен быть — голосом победителя.

Пульт управления на проводе и разделительный кабель-адаптер
Быстро управляйте громкостью или отключайте микрофон, не открывая элементы управления на компьютере, чтобы полностью сосредоточиться на игре. В комплект входит удлинительный разделительный кабель для настольных компьютеров и ноутбуков с раздельными разъемами для аудио и микрофона.",Полноразмерные,Проводной,Реальный объемный звук 7.1,Закрытые,5,"Сабвуфер:2 x 40 мм, Фронтальные:2 x 30 мм, Задние:2 x 20 мм, Центральные:2 x 30 мм, Боковые:2 x 20 мм",20 - 20 000,"Сабвуфер: 16 Ом. Фронтальные,Задние,Центральные,Боковые: 32 Ом","Сабвуфер:116 ± 3 дБ, Фронтальные:123 ± 3 дБ, Задние:120 ± 3 дБ, Центральные:123 ± 3 дБ, Боковые:120 ± 3 дБ",Однонаправленный,100-10000,-38 ± 3,Нет,5 разъемов 3.5 мм (4 разъема 3.5 мм для аудио и 1 разъем 3.5 мм для микрофона). 1 разъем USB для питания гарнитуры.,"3 метра, защитная оплетка","16,8 млн",2 года,Китай
Razer,Наушники,RZ04-02220100-R3M1/1.png///RZ04-02220100-R3M1/2.png///RZ04-02220100-R3M1/3.png///RZ04-02220100-R3M1/4.png///RZ04-02220100-R3M1/5.png///RZ04-02220100-R3M1/6.png///RZ04-02220100-R3M1/7.png///RZ04-02220100-R3M1/8.png///RZ04-02220100-R3M1/9.png///RZ04-02220100-R3M1/10.png,RZ04-02220100-R3M1,"Razer Electra V2, USB",RZ04-02220100-R3M1,"Великолепный звук — это ключ к успешной игре.
Razer Electra V2 USB — ваш первый шаг на пути к победе вместе с преимуществом Razer. Гарнитура Razer Electra V2 USB спроектирована для обеспечения сбалансированного звучания и содержит 40-миллиметровые динамики, которые настроены особым образом и позволяют воспроизводить точные, четкие басы и кристально чистые верхние частоты. Играйте на новом уровне благодаря виртуальному объемному звуку 7.1, обеспечивающему полное погружение в игровой процесс.

Razer Electra V2 USB оснащена цельным алюминиевым корпусом и амбушюрами из искусственной бархатистой кожи, чтобы обеспечить комфорт на протяжении самых жарких баталий. Ощутите комфорт и могущество благодаря гарнитуре Razer Electra V2 USB, оснащенной 40-миллиметровыми динамиками особой настройки, удобными амбушюрами из искусственной кожи и съемным направленным микрофоном. Испытайте заряженную работу с кристально чистым звуком и глубоким, сильным басом, благодаря которым ваши игры оживут.

Настроенные 40-миллиметровые динамики для ежедневного прослушивания
Razer Electra V2 USB может похвастаться высококачественными 40-миллиметровыми динамиками особой настройки, которые расширяют звучание высокоточными басами и обеспечивают превосходное сбалансированное качество звука для любых ваших нужд, включая игры и прослушивание музыки.

Цельный алюминиевый корпус для дополнительной прочности
Благодаря гибкому алюминиевому корпусу, обеспечивающему легкость и прочность, гарнитура Razer Electra V2 USB выдержит любые взлеты и падения. Автоматически регулируемое оголовье позволит носить гарнитуру с комфортом в течение длительного времени.

Виртуальный объемный звук 7.1 для полного погружения
Вдохните жизнь в звуковое окружение благодаря Razer Surround. Это продвинутое программное обеспечение виртуального объемного звука 7.1 позволяет калибровать параметры гарнитуры специально под ваши уши для получения индивидуальных, точных и всесторонних ощущений от объемного звучания.

Cъёмный направленный микрофон
В комплект Razer Electra V2 USB входит съемный направленный микрофон, обеспечивающий дополнительную универсальность. Подключите его, если вам необходима четкая голосовая связь во время игры, или снимите, чтобы полностью сосредоточиться на прослушивании музыки.

Амбушюры из превосходной искусственной кожи для отличной звукоизоляции
Благодаря подвижным амбушюрам из искусственной бархатистой кожи, обеспечивающими идеальную посадку на ваши уши, Razer Electra V2 USB предоставляет превосходную звукоизоляцию и гарантирует, что вы услышите только то, что нужно вам.

Чаши наушников с подсветкой, управляемые через Razer Synapse
Чаши наушников Razer Electra V2 USB имеют фирменную зеленую подсветку Razer. Благодаря Razer Synapse вы можете индивидуально настроить внешний вид наушников, включая или выключая подсветку.",Полноразмерные,Проводной,Виртуальный объемный звук 7.1,Закрытые,1,40,20 - 20 000,32 ± 15,115 ± 3,Направленный,100-10000,-41 ± 3,Встроенная,USB,2 м,Есть,2 года,Китай
Razer,Наушники,RZ04-02060200-R3M1/1.png///RZ04-02060200-R3M1/2.png///RZ04-02060200-R3M1/3.png///RZ04-02060200-R3M1/4.png///RZ04-02060200-R3M1/5.png///RZ04-02060200-R3M1/6.jpg///RZ04-02060200-R3M1/7.jpg,RZ04-02060200-R3M1,"Razer Kraken 7.1 V2 Oval, USB",RZ04-02060200-R3M1,"Игровая гарнитура Razer Kraken 7.1 V2 с передовой системой формирования виртуального объемного многоканального звука 7.1. Для точного позиционного аудио она оснащена новыми мощными 50 ммдинамиками Razer™ с индивидуальной настройкой. Конструкция закрытого типа с максимальной звукоизоляцией для невероятного реализма звучания с эффектом присутствия выводит процесс игры на новый уровень. Активный MEMS микрофон с подавлением шума обеспечивает непревзойденную чистоту голосовых команд в игре. Оптимизированная форма с оголовьем, выполненным из прочного и легкого алюминия, и съемными амбушюрами* позволяет настраивать желаемый уровень комфорта. 

Система объемного звука 7.1 для точного позиционного аудио
Встроенная передовая система виртуального объемного звука 7.1 позволяет гарнитуре Razer Kraken 7.1 V2 формировать позиционное аудио с идеальной точностью. Настраивайте объемный звук согласно своим предпочтениям с помощью Razer Synapse, чтобы определять местонахождение противника для точного удара и гарантированной победы.

50-миллиметровые динамики для баланса внутриигрового звука и общения
Для формирования эффекта присутствия были разработаны 50 мм динамики Razer™ с индивидуальной настройкой, обеспечивающие непревзойденное звучание. Уникальная звуковая сигнатура этих впечатляющих динамиков воспроизводит кристально чистые высокие тона и грохот басов, которые помещают вас в центр событий.

Легкое алюминиевое оголовье для повышенной прочности
Усовершенствованное оголовье гарнитуры Razer Kraken 7.1 V2, выполненное из алюминия, отличается легким весом и невероятной гибкостью, обеспечивая повышенную износостойкость без потери комфорта, характерного для всей серии продуктов Razer Kraken.

Полностью выдвижной микрофон с активным подавлением шума
Для обеспечения кристально четких коммуникаций гарнитура Razer Kraken 7.1 V2 оснащена полностью выдвижным микрофоном с активным подавлением шума.

Подсветка Razer Chroma с настройкой 16,8 млн. оттенков
В вашем распоряжении целый мир возможностей для исключительной персонализации и выражения собственного стиля с помощью невероятных визуальных эффектов. Настраивайте цветовую палитру и синхронизируйте ее с другими периферийными устройствами, поддерживающими Razer Chroma, чтобы осветить все рабочее место как единое целое.

Разработана для обеспечения максимального комфорта и отсутствия давления
Дужка была спроектирована таким образом, чтобы сбалансировать распределение веса и уменьшить давление для максимального комфорта во время продолжительной игры. Чаши стали ещё больше, амбушюры мягче и обеспечивают ещё лучшую изоляцию звука, чем раньше. Вдобавок ко всему, они могут быть легко заменены на один из наиболее подходящих вам вариантов — круглой или овальной формы*. Также обновленные чаши наушников оснащены особыми встроенными желобами, позволяющими геймерам, которые носят очки, пользоваться гарнитурой, не испытывая дискомфорта после долгой игры.",Полноразмерные,Проводной,Виртуальный объемный звук 7.1,Закрытые,1,50,12 - 28 000,32,118,Однонаправленный,100-10000,-38 ± 3,Встроенная,USB,2 м,"16,8 млн",2 года,Китай
Razer,Наушники,RZ04-02230100-R3M1/1.png///RZ04-02230100-R3M1/2.png///RZ04-02230100-R3M1/3.png///RZ04-02230100-R3M1/4.png///RZ04-02230100-R3M1/5.png///RZ04-02230100-R3M1/6.png///RZ04-02230100-R3M1/7.png///RZ04-02230100-R3M1/8.png///RZ04-02230100-R3M1/9.png///RZ04-02230100-R3M1/10.png,RZ04-02230100-R3M1,Razer Thresher 7.1 PS4,RZ04-02230100-R3M1,"Razer Thresher 7.1 для PlayStation 4 — это полноценное беспроводное аудиорешение. Помимо полного погружения в звук без задержек, эта гарнитура премиум-класса также обеспечивает невероятный комфорт. Амбушюры из искусственной кожи с эффектом памяти идеально располагаются на голове — вы их практически не почувствуете. Встроенные кнопки быстрого управления и выдвижной цифровой микрофон помогут вам мгновенно изменять громкость микрофона и общую громкость даже во время самой жаркой битвы.

Dolby Headphone с объемным звуком 7.1 для превосходного позиционирования
Гарнитура Razer Thresher для PS4 с поддержкой технологии Dolby Headphone воспроизводит невероятно реалистичный звук.
Вы легко сможете определить, где находятся ваши враги, услышите самолеты поддержки, пролетающие над головой, и даже самые тихие звуки с потрясающей четкостью — используйте это, чтобы всегда быть на шаг впереди своих противников.

Беспроводное подключение без задержек и цифровой микрофон
Гарнитура Razer Thresher для PS4 работает без каких-либо задержек на расстоянии до 12 метров. Выдвижной цифровой микрофон позволяет хорошо слышать ваших партнеров по игре, даже если вокруг очень шумно, чтобы ваши команды всегда звучали реалистично и четко.

Легкие амбушюры из искусственной кожи для отличной звукоизоляции 
Легкие и мягкие амбушюры созданы для комфортной игры в течение длительного времени. Они изготовлены из пеноматериала с эффектом памяти и искусственной кожи, благодаря чему они удобно облегают голову игрока. Теперь вы сможете играть много часов подряд без необходимости перерыва на отдых. Удобно использовать с очками благодаря углублениям в пеноматериале для более мягкой посадки на висках",Полноразмерные,Беспроводной,Виртуальный объемный звук 7.1,Закрытые,1,50,12 - 28 000,32,105 ± 2,Направленный,100-10000,-42 ± 2,Внешняя,USB,2м - зарядный кабель,Нет,2 года,Китай
Razer,Наушники,RZ04-02240100-R3M1/1.png///RZ04-02240100-R3M1/2.png///RZ04-02240100-R3M1/3.png///RZ04-02240100-R3M1/4.png///RZ04-02240100-R3M1/5.png///RZ04-02240100-R3M1/6.png///RZ04-02240100-R3M1/7.png///RZ04-02240100-R3M1/8.png,RZ04-02240100-R3M1,Razer Thresher for Xbox One,RZ04-02240100-R3M1,"Razer Thresher для Xbox One — это полноценное беспроводное аудиорешение без адаптеров. Помимо полного погружения в звук без задержек, эта гарнитура премиум-класса также обеспечивает невероятный комфорт. Амбушюры из искусственной кожи с эффектом памяти идеально располагаются на голове — вы их практически не почувствуете. Встроенные кнопки быстрого управления и выдвижной цифровой микрофон помогут вам мгновенно изменять баланс громкости звуков в игре и вашего голоса даже во время самой жаркой битвы.

Простое сверхбыстрое беспроводное подключение напрямую к Xbox One
Гарнитура Razer Thresher для Xbox One работает без использования адаптеров и обеспечивает соединение без задержек на расстоянии до 12 метров. Гарнитура подключается к Xbox One напрямую и обеспечивает интуитивную работу. Больше не требуется возиться с настройкой беспроводного адаптера, который легко потерять.

Windows Sonic для виртуального объемного звука для точного позиционирования звука
Благодаря технологии Windows Sonic гарнитура Razer Thresher для Xbox One обеспечивает новейшую технологию объемного звука от Microsoft. Вы легко сможете определить, где находятся ваши враги, услышите самолеты поддержки, пролетающие над головой, и даже самые тихие звуки с потрясающей четкостью — используйте это, чтобы всегда быть на шаг впереди своих противников.

Легкие амбушюры из искусственной кожи для отличной звукоизоляции
Легкие и мягкие амбушюры созданы для комфортной игры в течение длительного времени. Они изготовлены из пеноматериала с эффектом памяти и искусственной кожи, благодаря чему они удобно облегают голову игрока.
Теперь вы сможете играть много часов подряд без необходимости перерыва на отдых.",Полноразмерные,Беспроводной,Виртуальный объемный звук 7.1,Закрытые,1,50,12 - 28 000,32,105 ± 2,Направленный,100-10000,-42 ± 2,Внешняя,USB,,Нет,2 года,Китай
Razer,Наушники,RZ04-01590100-R3G1/1.png///RZ04-01590100-R3G1/2.png///RZ04-01590100-R3G1/3.png///RZ04-01590100-R3G1/4.png///RZ04-01590100-R3G1/5.png///RZ04-01590100-R3G1/6.png///RZ04-01590100-R3G1/7.png///RZ04-01590100-R3G1/8.png///RZ04-01590100-R3G1/9.png///RZ04-01590100-R3G1/10.png///RZ04-01590100-R3G1/11.png///RZ04-01590100-R3G1/12.png///RZ04-01590100-R3G1/13.png///RZ04-01590100-R3G1/14.png,RZ04-01590100-R3G1,Razer Thresher Ultimate for PlayStation 4,RZ04-01590100-R3G1,"Представляем уникальную беспроводную игровую гарнитуру с поддержкой технологий Dolby Digital и Dolby Headphone — Razer Thresher Ultimate для PlayStation 4. Помимо полного погружения в звук без задержек, эта гарнитура премиум-класса также обеспечивает невероятный комфорт. Амбушюры из искусственной кожи с эффектом памяти идеально располагаются на голове — вы их практически не почувствуете. Встроенные кнопки быстрого управления и выдвижной цифровой микрофон помогут вам мгновенно изменять баланс громкости звуков в игре и вашего голоса даже во время самой жаркой битвы.

Dolby Headphone с объемным звуком 7.1 для полного погружения в игру
Гарнитура Razer Thresher Ultimate для PlayStation 4 с поддержкой технологии Dolby Headphone воспроизводит невероятно реалистичный звук. Вы легко сможете определить, где находятся ваши враги, услышите самолеты поддержки, пролетающие над головой, и даже самые тихие звуки с потрясающей четкостью — используйте это, чтобы всегда быть на шаг впереди своих противников.

Беспроводное подключение без задержек и цифровой микрофон для кристально чистого общения
Гарнитура Razer Thresher Ultimate for PlayStation 4 работает без каких-либо задержек на расстоянии до 12 метров. Выдвижной цифровой микрофон позволяет хорошо слышать ваших партнеров по игре, даже если вокруг очень шумно, чтобы ваши команды всегда звучали реалистично и четко.

Легкие амбушюры из искусственной кожи для длительного комфортного использования
Легкие и мягкие амбушюры созданы для комфортной игры в течение длительного времени. Они изготовлены из пеноматериала с эффектом памяти и искусственной кожи, благодаря чему они удобно облегают голову игрока. Теперь вы сможете играть много часов подряд без необходимости перерыва на отдых.

Кнопки управления микрофоном и регуляторы громкости на гарнитуре
Благодаря кнопкам управления на наушнике гарнитуры Razer Thresher Ultimate for PlayStation 4 вы без труда получаете полный контроль над ситуацией. Корректируйте уровень громкости микрофона и наушников и отключайте звук микрофона, не обращаясь к настройкам на экране и не отвлекаясь от своих целей.

Гибкий выдвижной микрофон
В левом наушнике гарнитуры скрыт выдвижной однонаправленный микрофон, который легко выдвигается при необходимости и занимает удобное вам положение. Микрофон гарнитуры Razer Thresher Ultimate for PlayStation 4 оснащен светодиодным индикатором включения и отключения звука, чтобы вы всегда знали, когда вы в эфире.

50-миллиметровые динамики для баланса внутриигрового звука и общения
Гарнитура Razer Thresher Ultimate for PlayStation 4 обеспечивает реалистичное звучание игры благодаря большим 50-миллиметровым динамикам с индивидуальной настройкой. Закрытая конструкция наушников и мягкие амбушюры из искусственной кожи гарантируют качественную шумоизоляцию. Вы сможете уделять все внимание игре, не отвлекаясь на посторонние звуки.",Полноразмерные,Беспроводной,Виртуальный объемный звук 7.1,Закрытые,1,50,12 - 28 000,32,105 ± 2,Направленный,100-10000,-42 ± 2,Внешняя,USB,2м - зарядный кабель,Нет,2 года,Китай
Razer,Наушники,RZ04-01480100-R3G1/1.png///RZ04-01480100-R3G1/2.png///RZ04-01480100-R3G1/3.png///RZ04-01480100-R3G1/4.png///RZ04-01480100-R3G1/5.png///RZ04-01480100-R3G1/6.png///RZ04-01480100-R3G1/7.png///RZ04-01480100-R3G1/8.png///RZ04-01480100-R3G1/9.png///RZ04-01480100-R3G1/10.png///RZ04-01480100-R3G1/11.png///RZ04-01480100-R3G1/12.png///RZ04-01480100-R3G1/13.png///RZ04-01480100-R3G1/14.png,RZ04-01480100-R3G1,Razer Thresher Ultimate for Xbox One,RZ04-01480100-R3G1,"Представляем уникальную беспроводную игровую гарнитуру с поддержкой технологий Dolby Digital и Dolby Headphone - Razer Thresher Ultimate для Xbox One. Помимо полного погружения в звук без задержек, эта гарнитура премиум-класса также обеспечивает невероятный комфорт. Амбушюры из искусственной кожи с эффектом памяти идеально располагаются на голове - вы их практически не почувствуете. Встроенные кнопки быстрого управления и выдвижной цифровой микрофон помогут вам мгновенно изменять баланс громкости звуков в игре и вашего голоса даже во время самой жаркой битвы. 

Dolby Headphone с объемным звуком 7.1 для полного погружения в игру
Гарнитура Razer Thresher Ultimate для Xbox One с поддержкой технологии Dolby Headphone воспроизводит невероятно реалистичный звук. Вы легко сможете определить, где находятся ваши враги, услышите самолеты поддержки, пролетающие над головой, и даже самые тихие звуки с потрясающей четкостью — используйте это, чтобы всегда быть на шаг впереди своих противников.

Беспроводное подключение без задержек и цифровой микрофон для кристально чистого общения
Гарнитура Razer Thresher Ultimate for Xbox One работает без каких-либо задержек на расстоянии до 12 метров. Выдвижной цифровой микрофон позволяет хорошо слышать ваших партнеров по игре, даже если вокруг очень шумно, чтобы ваши команды всегда звучали реалистично и четко.

Легкие амбушюры из искусственной кожи для длительного комфортного использования
Легкие и мягкие амбушюры созданы для комфортной игры в течение длительного времени. Они изготовлены из пеноматериала с эффектом памяти и искусственной кожи, благодаря чему они удобно облегают голову игрока. Теперь вы сможете играть много часов подряд без необходимости перерыва на отдых.

Кнопки управления микрофоном и регуляторы громкости на гарнитуре
Благодаря кнопкам управления на наушнике гарнитуры Razer Thresher Ultimate for Xbox One вы без труда получаете полный контроль над ситуацией. Корректируйте уровень громкости микрофона и наушников и отключайте звук микрофона, не обращаясь к настройкам на экране и не отвлекаясь от своих целей.

Гибкий выдвижной микрофон
В левом наушнике гарнитуры скрыт выдвижной однонаправленный микрофон, который легко выдвигается при необходимости и занимает удобное вам положение. Микрофон гарнитуры Razer Thresher Ultimate for Xbox One оснащен светодиодным индикатором включения и отключения звука, чтобы вы всегда знали, когда вы в эфире.

50-миллиметровые динамики для баланса внутриигрового звука и общения
Гарнитура Razer Thresher Ultimate for Xbox One обеспечивает реалистичное звучание игры благодаря большим 50-миллиметровым динамикам с индивидуальной настройкой. Закрытая конструкция наушников и мягкие амбушюры из искусственной кожи гарантируют качественную шумоизоляцию. Вы сможете уделять все внимание игре, не отвлекаясь на посторонние звуки.",Полноразмерные,Беспроводной,Виртуальный объемный звук 7.1,Закрытые,1,50,12 - 28 000,32,105 ± 2,Направленный,100-10000,-42 ± 2,Внешняя,USB,,Нет,2 года,Китай
